ProgressID,CandidateID,CourseName,CompletionPercentage,DateCompleted,Status,Gender,Age,CohortID
PROG001,CAN001,Machine Learning Fundamentals,100,2025-02-15,Completed,Male,24,COH001
PROG002,CAN001,Python for Data Science,85,,In Progress,Male,24,COH001
PROG003,CAN002,Introduction to Artificial Intelligence,100,2025-02-20,Completed,Female,27,COH001
PROG004,CAN002,Deep Learning Specialization,65,,In Progress,Female,27,COH001
PROG005,CAN002,Ethics in AI,100,2025-03-01,Completed,Female,27,COH001
PROG006,CAN003,Computer Vision Basics,90,,In Progress,Male,22,COH001
PROG007,CAN003,Neural Networks and Deep Learning,100,2025-02-28,Completed,Male,22,COH001
PROG008,CAN004,Natural Language Processing,75,,In Progress,Female,29,COH001
PROG009,CAN004,TensorFlow Developer Certificate,100,2025-03-10,Completed,Female,29,COH001
PROG010,CAN005,Data Structures and Algorithms,45,,In Progress,Male,26,COH001
PROG011,CAN005,Advanced Python Programming,100,2025-02-25,Completed,Male,26,COH001
PROG012,CAN006,Web Development with React,100,2025-03-05,Completed,Female,25,COH001
PROG013,CAN006,JavaScript ES6+ Features,80,,In Progress,Female,25,COH001
PROG014,CAN007,Node.js Backend Development,95,,In Progress,Male,23,COH001
PROG015,CAN007,Database Design and SQL,100,2025-02-22,Completed,Male,23,COH001
PROG016,CAN008,UI/UX Design Principles,100,2025-03-12,Completed,Female,28,COH001
PROG017,CAN008,Responsive Web Design,70,,In Progress,Female,28,COH001
PROG018,CAN009,API Development with Express,85,,In Progress,Male,24,COH001
PROG019,CAN009,Authentication and Authorization,100,2025-03-08,Completed,Male,24,COH001
PROG020,CAN010,Linux System Administration,100,2025-03-15,Completed,Female,31,COH001
PROG021,CAN010,Bash Scripting,60,,In Progress,Female,31,COH001
PROG022,CAN011,Network Security Fundamentals,100,2025-02-18,Completed,Male,26,COH001
PROG023,CAN011,Penetration Testing,40,,In Progress,Male,26,COH001
PROG024,CAN012,Digital Forensics,90,,In Progress,Female,24,COH001
PROG025,CAN012,Cybersecurity Essentials,100,2025-03-20,Completed,Female,24,COH001
PROG026,CAN013,Cloud Security Architecture,75,,In Progress,Male,27,COH001
PROG027,CAN013,AWS Security Specialty,100,2025-03-25,Completed,Male,27,COH001
PROG028,CAN014,Information Security Management,85,,In Progress,Female,25,COH001
PROG029,CAN014,Risk Assessment and Management,100,2025-02-14,Completed,Female,25,COH001
PROG030,CAN015,Ethical Hacking,55,,In Progress,Male,29,COH001
PROG031,CAN015,Incident Response,100,2025-03-18,Completed,Male,29,COH001
PROG032,CAN016,Docker Fundamentals,100,2025-03-22,Completed,Female,23,COH001
PROG033,CAN016,Kubernetes Administration,70,,In Progress,Female,23,COH001
PROG034,CAN017,Infrastructure as Code,95,,In Progress,Male,28,COH001
PROG035,CAN017,Terraform on AWS,100,2025-02-12,Completed,Male,28,COH001
PROG036,CAN018,CI/CD Pipeline Development,80,,In Progress,Female,26,COH001
PROG037,CAN018,Jenkins Administration,100,2025-03-14,Completed,Female,26,COH001
PROG038,CAN019,Monitoring and Observability,65,,In Progress,Male,24,COH001
PROG039,CAN019,Prometheus and Grafana,100,2025-03-26,Completed,Male,24,COH001
PROG040,CAN020,Site Reliability Engineering,90,,In Progress,Female,27,COH001
PROG041,CAN020,DevOps Culture and Practices,100,2025-02-16,Completed,Female,27,COH001
PROG042,CAN021,Ansible Automation,100,2025-04-02,Completed,Male,25,COH002
PROG043,CAN021,Configuration Management,75,,In Progress,Male,25,COH002
PROG044,CAN022,AWS Solutions Architect,85,,In Progress,Female,30,COH002
PROG045,CAN022,Cloud Migration Strategies,100,2025-03-28,Completed,Female,30,COH002
PROG046,CAN023,Azure Fundamentals,100,2025-04-05,Completed,Male,22,COH002
PROG047,CAN023,Azure DevOps,60,,In Progress,Male,22,COH002
PROG048,CAN024,Google Cloud Platform,70,,In Progress,Female,26,COH002
PROG049,CAN024,Multi-Cloud Management,100,2025-03-30,Completed,Female,26,COH002
PROG050,CAN025,Serverless Computing,100,2025-04-08,Completed,Male,24,COH002
PROG051,CAN025,Microservices Architecture,80,,In Progress,Male,24,COH002
PROG052,CAN026,Container Security,90,,In Progress,Female,27,COH002
PROG053,CAN026,DevSecOps Practices,100,2025-04-01,Completed,Female,27,COH002
PROG054,CAN027,API Gateway Management,75,,In Progress,Male,23,COH002
PROG055,CAN027,Service Mesh Implementation,100,2025-04-10,Completed,Male,23,COH002
PROG056,CAN028,Performance Testing,85,,In Progress,Female,29,COH002
PROG057,CAN028,Load Testing with JMeter,100,2025-03-24,Completed,Female,29,COH002
PROG058,CAN029,Agile Project Management,100,2025-04-12,Completed,Male,25,COH002
PROG059,CAN029,Scrum Master Certification,65,,In Progress,Male,25,COH002
PROG060,CAN030,Business Analysis,90,,In Progress,Female,28,COH002
PROG061,CAN030,Requirements Engineering,100,2025-04-06,Completed,Female,28,COH002
PROG062,CAN031,Data Analytics with Python,100,2025-04-15,Completed,Male,24,COH002
PROG063,CAN031,Statistical Analysis,70,,In Progress,Male,24,COH002
PROG064,CAN032,Data Visualization with Tableau,85,,In Progress,Female,26,COH002
PROG065,CAN032,Business Intelligence,100,2025-04-18,Completed,Female,26,COH002
PROG066,CAN033,SQL for Data Analysis,100,2025-04-20,Completed,Male,31,COH002
PROG067,CAN033,Big Data Analytics,55,,In Progress,Male,31,COH002
PROG068,CAN034,R Programming for Statistics,80,,In Progress,Female,23,COH002
PROG069,CAN034,Predictive Modeling,100,2025-04-22,Completed,Female,23,COH002
PROG070,CAN035,Excel Advanced Functions,100,2025-04-14,Completed,Male,27,COH002
PROG071,CAN035,Power BI Fundamentals,75,,In Progress,Male,27,COH002
PROG072,CAN036,Quality Assurance Testing,100,2025-04-25,Completed,Female,25,COH002
PROG073,CAN036,Automated Testing with Selenium,60,,In Progress,Female,25,COH002
PROG074,CAN037,Mobile Testing Strategies,85,,In Progress,Male,29,COH002
PROG075,CAN037,Performance Testing Tools,100,2025-04-28,Completed,Male,29,COH002
PROG076,CAN038,Test Case Design,90,,In Progress,Female,24,COH002
PROG077,CAN038,Bug Tracking and Management,100,2025-04-16,Completed,Female,24,COH002
PROG078,CAN039,User Acceptance Testing,75,,In Progress,Male,26,COH002
PROG079,CAN039,Test Automation Framework,100,2025-04-30,Completed,Male,26,COH002
PROG080,CAN040,Android App Development,100,2025-05-02,Completed,Male,22,COH003
PROG081,CAN040,Kotlin Programming,80,,In Progress,Male,22,COH003
PROG082,CAN041,iOS Development with Swift,70,,In Progress,Female,28,COH003
PROG083,CAN041,Mobile UI/UX Design,100,2025-05-05,Completed,Female,28,COH003
PROG084,CAN042,React Native Development,85,,In Progress,Male,25,COH003
PROG085,CAN042,Cross-Platform Mobile Apps,100,2025-04-24,Completed,Male,25,COH003
PROG086,CAN043,Flutter Development,90,,In Progress,Female,30,COH003
PROG087,CAN043,Dart Programming Language,100,2025-05-08,Completed,Female,30,COH003
PROG088,CAN044,Mobile App Security,65,,In Progress,Male,27,COH003
PROG089,CAN044,App Store Optimization,100,2025-05-01,Completed,Male,27,COH003
PROG090,CAN045,Game Development with Unity,100,2025-05-10,Completed,Female,24,COH003
PROG091,CAN045,C# Programming,75,,In Progress,Female,24,COH003
PROG092,CAN046,3D Modeling and Animation,80,,In Progress,Male,26,COH003
PROG093,CAN046,Game Design Principles,100,2025-05-12,Completed,Male,26,COH003
PROG094,CAN047,Virtual Reality Development,85,,In Progress,Female,23,COH003
PROG095,CAN047,Augmented Reality Basics,100,2025-04-26,Completed,Female,23,COH003
PROG096,CAN048,Blockchain Development,70,,In Progress,Male,28,COH003
PROG097,CAN048,Smart Contract Programming,100,2025-05-15,Completed,Male,28,COH003
PROG098,CAN049,Cryptocurrency Fundamentals,90,,In Progress,Female,25,COH003
PROG099,CAN049,DeFi Applications,100,2025-05-03,Completed,Female,25,COH003
PROG100,CAN050,Web3 Development,55,,In Progress,Female,27,COH003
