TeamID,TeamName,CohortID,ProvinceID,BranchID,TeamSize
TM001,Alpha Innovators,COH001,PROV001,BR001,5
TM002,Beta Builders,COH001,PROV002,BR002,4
TM003,Gamma Guardians,COH001,PROV003,BR003,6
TM004,Delta Developers,COH001,PROV004,BR004,5
TM005,Epsilon Engineers,COH002,PROV001,BR001,4
TM006,Zeta Zenith,COH002,PROV002,BR002,5
TM007,Eta Excellence,COH002,PROV003,BR003,6
TM008,Theta Titans,COH002,PROV004,BR004,4
TM009,Iota Innovators,COH003,PROV001,BR001,5
TM010,Kappa Kings,COH003,PROV002,BR002,6
TM011,Lambda Lions,COH003,PROV003,BR003,4
TM012,Mu Masters,COH003,PROV004,BR004,5
TM013,Nu Navigators,COH004,PROV001,BR001,6
TM014,Xi Xperts,COH004,PROV002,BR002,4
TM015,Omicron Owls,COH004,PROV003,BR003,5
TM016,Pi Pioneers,COH004,PROV004,BR004,5
TM017,Rho Rockets,COH005,PROV001,BR001,4
TM018,Sigma Stars,COH005,PROV002,BR002,6
TM019,Tau Tigers,COH005,PROV003,BR003,5
TM020,Upsilon United,COH005,PROV004,BR004,4
TM021,Phi Phoenix,COH006,PROV001,BR001,5
TM022,Chi Champions,COH006,PROV002,BR002,4
TM023,Psi Powerhouse,COH006,PROV003,BR003,6
TM024,Omega Warriors,COH006,PROV004,BR004,5
TM025,System Spartans,COH007,PROV001,BR001,4
TM026,Support Squad,COH007,PROV002,BR002,5
TM027,Tech Titans,COH007,PROV003,BR003,6
TM028,Code Crushers,COH007,PROV004,BR004,5
